1.;Физические лица, как участники гражданских правоотношений;Статья 30 ГК РФ;Какие сделки вправе самостоятельно совершать гражданин, ограниченный судом в дееспособности вследствие злоупотребления  спиртными напитками  или наркотическими веществами;;;;;;;;;;;;;;;;;;;;;;
;;Гражданин может быть по заявлению заинтересованных лиц признан судом безвестно отсутствующим, если в течение года в месте его жительства нет сведений о месте его пребывания.;;;1Один год;Два года;Три года;;;;;;;;;;;;;;;;;;
7.;;Статья 292. ГК РФ Права членов семьи собственников жилого помещения;Необходимо ли согласие органа опеки и попечительства при отчуждении жилого помещения, в котором зарегистрированы несовершеннолетние?;;Нет;1Да, если несовершеннолетний остался без попечения родителей.;Необходимо только при предъявлении соответствующего требования  покупателя недвижимости к продавцу.;;;;;;;;;;;;;;;;;;
;;4. Отчуждение жилого помещения, в котором проживают находящиеся под опекой или попечительством члены семьи собственника данного жилого помещения либо оставшиеся без родительского попечения несовершеннолетние члены семьи собственника (о чем известно органу опеки и попечительства), если при этом затрагиваются права или охраняемые законом интересы указанных лиц, допускается с согласия органа опеки и попечительства.;Выберите все возможные правильные из предложенных вариантов ответов.;;;;;;;;;;;;;;;;;;;;;;
8.;;Ст.21 ГК РФ; С какого  возраста возникает гражданская;;;;;;;;;;;;;;;;;;;;;;
;;1. Способность гражданина своими действиями приобретать и осуществлять гражданские права, создавать для себя гражданские обязанности и исполнять их (гражданская дееспособность) возникает в полном объеме с наступлением совершеннолетия, то есть по достижении восемнадцатилетнего возраста.;дееспособность?;;С 16 лет;С 18 лет;С 14 лет;1С 18 лет, а также с с 16 лет  в случае признания лиц полностью дееспособными по причине вступления в брак, и признания полностью дееспособным решением опеки и попечительства с согласия обоих родителей.;;;;;;;;;;;;;;;;;
;;2. В случае, когда законом допускается вступление в брак до достижения восемнадцати лет, гражданин, не достигший восемнадцатилетнего возраста, приобретает дееспособность в полном объеме со времени вступления в брак.;;;;;;;;;;;;;;;;;;;;;;;
;;Приобретенная в результате заключения брака дееспособность сохраняется в полном объеме и в случае расторжения брака до достижения восемнадцати лет.;;;;;;;;;;;;;;;;;;;;;;;
;;При признании брака недействительным суд может принять решение об утрате несовершеннолетним супругом полной дееспособности с момента, определяемого судом.;;;;;;;;;;;;;;;;;;;;;;;
9.;;ГК РФ  Статья 21. Дееспособность гражданина;Граждане становятся полностью дееспособными;;;;;;;;;;;;;;;;;;;;;;
;;1. Способность гражданина своими действиями приобретать и осуществлять гражданские права, создавать для себя гражданские обязанности и исполнять их (гражданская дееспособность) возникает в полном объеме с наступлением совершеннолетия, то есть по достижении восемнадцатилетнего возраста.;Выберите все возможные правильные из предложенных вариантов ответов.;;;;;;;;;;;;;;;;;;;;;;
;;2. В случае, когда законом допускается вступление в брак до достижения восемнадцати лет, гражданин, не достигший восемнадцатилетнего возраста, приобретает дееспособность в полном объеме со времени вступления в брак.;;;1При достижении 18 лет;При достижении 16 лет;1При вступлении в зарегистрированный брак;1При эмансипации;;;;;;;;;;;;;;;;;
;;Приобретенная в результате заключения брака дееспособность сохраняется в полном объеме и в случае расторжения брака до достижения восемнадцати лет.;;;;;;;;;;;;;;;;;;;;;;;
;;При признании брака недействительным суд может принять решение об утрате несовершеннолетним супругом полной дееспособности с момента, определяемого судом.;;;;;;;;;;;;;;;;;;;;;;;
;; Приобретенная в результате заключения брака дееспособность сохраняется в полном объеме и в случае расторжения брака до достижения восемнадцати лет.;;;;;;;;;;;;;;;;;;;;;;;
;;                ГК РФ Ст.27 ГК РФ Эмансипация;;;;;;;;;;;;;;;;;;;;;;;
;;1. Несовершеннолетний, достигший шестнадцати лет, может быть объявлен полностью дееспособным, если он работает по трудовому договору, в том числе по контракту, или с согласия родителей, усыновителей или попечителя занимается предпринимательской деятельностью.;;;;;;;;;;;;;;;;;;;;;;;
;;Объявление несовершеннолетнего полностью дееспособным (эмансипация) производится по решению органа опеки и попечительства - с согласия обоих родителей, усыновителей или попечителя либо при отсутствии такого согласия - по решению суда.;;;;;;;;;;;;;;;;;;;;;;;
;;2. Родители, усыновители и попечитель не несут ответственности по обязательствам эмансипированного несовершеннолетнего, в частности по обязательствам, возникшим вследствие причинения им вреда.;;;;;;;;;;;;;;;;;;;;;;;
10.;;Ст.26 ГК РФДееспособность несовершеннолетних в возрасте от четырнадцати до восемнадцати лет;Может ли собственник квартиры в возрасте от 14 до 18 лет продать ее?;;;;;;;;;;;;;;;;;;;;;;
;;1. Несовершеннолетние в возрасте от четырнадцати до восемнадцати лет совершают сделки, за исключением названных в пункте 2 настоящей статьи, с письменного согласия своих законных представителей - родителей, усыновителей или попечителя.;;;;;;;;;;;;;;;;;;;;;;;
;;Сделка, совершенная таким несовершеннолетним, действительна также при ее последующем письменном одобрении его родителями, усыновителями или попечителем.;;;;;;;;;;;;;;;;;;;;;;;
;;2. Несовершеннолетние в возрасте от четырнадцати до восемнадцати лет вправе самостоятельно, без согласия родителей, усыновителей и попечителя:;;;Нет;Да, с предварительного разрешения органов опеки и попечительства;Да, с обязательным его присутствием, действуя с согласия его родителей;1Да, с предварительного разрешения органов опеки и попечительства с обязательным  присутствием самого собственника, действующего с согласия его родителей, а также если несовершеннолетний  эмансипирован в возрасте 16 лет решением опеки или вступил в законный брак до достижения 18 лет.;;;;;;;;;;;;;;;;;
;;"1) распоряжаться своими заработком, стипендией и иными доходами;";;;;;;;;;;;;;;;;;;;;;;;
;;"2) осуществлять права автора произведения науки, литературы или искусства, изобретения или иного охраняемого законом результата своей интеллектуальной деятельности;";;;;;;;;;;;;;;;;;;;;;;;
;;"3) в соответствии с законом вносить вклады в кредитные учреждения и распоряжаться ими;";;;;;;;;;;;;;;;;;;;;;;;
;;4) совершать мелкие бытовые сделки и иные сделки, предусмотренные пунктом 2 статьи 28 настоящего Кодекса.;;;;;;;;;;;;;;;;;;;;;;;
;;По достижении шестнадцати лет несовершеннолетние также вправе быть членами кооперативов в соответствии с законами о кооперативах;;;;;;;;;;;;;;;;;;;;;;;
11.;;Ст.171 ГК РФНедействительность сделки, совершенной гражданином, признанным недееспособным;Во всех ли случаях сделка, совершенная недееспособным (психически больным) гражданином ничтожна?;;;;;;;;;;;;;;;;;;;;;;
;;1. Ничтожна сделка, совершенная гражданином, признанным недееспособным вследствие психического расстройства.;;;;;;;;;;;;;;;;;;;;;;;
;;Каждая из сторон такой сделки обязана возвратить другой все полученное в натуре, а при невозможности возвратить полученное в натуре - возместить его стоимость.;;;Да;Нет;Да, за исключением случая, когда в момент совершения сделки психически больной гражданин осознавал значение своих действий и мог руководить ими;1Да, за исключением случая, когда эта сделка совершена к выгоде такого гражданина, ;;;;;;;;;;;;;;;;;
;;Дееспособная сторона обязана, кроме того, возместить другой стороне понесенный ею реальный ущерб, если дееспособная сторона знала или должна была знать о недееспособности другой стороны.;;;;;;и по требованию опекуна признана судом действительной;;;;;;;;;;;;;;;;;
;;2. В интересах гражданина, признанного недееспособным вследствие психического расстройства, совершенная им сделка может быть по требованию его опекуна признана судом действительной, если она совершена к выгоде этого гражданина.;;;;;;;;;;;;;;;;;;;;;;;
12.;;Ст.17 ГК РФ Правоспособность гражданина;Правоспособность гражданина;;;;;;;;;;;;;;;;;;;;;;
;;1. Способность иметь гражданские права и нести обязанности (гражданская правоспособность) признается в равной мере за всеми гражданами.;;;1Способность иметь гражданские права и нести  обязанности;Право реализовывать свои индивидуальные способности в профессиональной деятельности;1Способность своими действиями приобретать права;;;;;;;;;;;;;;;;;;
;;2. Правоспособность гражданина возникает в момент его рождения и прекращается смертью.;;;;;;;;;;;;;;;;;;;;;;;
13.;;Статья 21 ГК РФ  Дееспособность гражданина;Что такое дееспособность?;;;;;;;;;;;;;;;;;;;;;;
;;1. Способность гражданина своими действиями приобретать и осуществлять гражданские права, создавать для себя гражданские обязанности и исполнять их (гражданская дееспособность) возникает в полном объеме с наступлением совершеннолетия, то есть по достижении восемнадцатилетнего возраста.;;;Возможность передавать свои права по доверенности;1Способность иметь права и нести обязанности;Способность приобретать и осуществлять гражданские права, создавать для себя гражданские обязанности и исполнять их;;;;;;;;;;;;;;;;;;
14.;;Статья 171 ГК РФ  Недействительность сделки, совершенной гражданином, признанным недееспособным;Сделка, совершенная лицом, признанным недееспособным вследствие психического расстройства является;;;;;;;;;;;;;;;;;;;;;;
;;1. Ничтожна сделка, совершенная гражданином, признанным недееспособным вследствие психического расстройства.;;;;;;;;;;;;;;;;;;;;;;;
;;Каждая из сторон такой сделки обязана возвратить другой все полученное в натуре, а при невозможности возвратить полученное в натуре - возместить его стоимость.;;;Оспоримой;1Ничтожной, но  может быть по требованию опекуна признана судом действительной, если она совершена к выгоде этого лица;Действительная,  при условии последующего одобрения ее органом опеки и попечительства;;;;;;;;;;;;;;;;;;
;;Дееспособная сторона обязана, кроме того, возместить другой стороне понесенный ею реальный ущерб, если дееспособная сторона знала или должна была знать о недееспособности другой стороны.;;;;;;;;;;;;;;;;;;;;;;;
;;2. В интересах гражданина, признанного недееспособным вследствие психического расстройства, совершенная им сделка может быть по требованию его опекуна признана судом действительной, если она совершена к выгоде этого гражданина.;;;;;;;;;;;;;;;;;;;;;;;
15.;;ст. 2 Закон РФ ?О приватизации жилищного фонда в Российской Федерации? от 4 июля 1991 года N 1541-1 (ред. 20.12.17.);С какого возраста несовершеннолетние могут самостоятельно оформлять договоры передачи жилых помещений в собственность?;;;;;;;;;;;;;;;;;;;;;;
;;Жилые помещения, в которых проживают исключительно несовершеннолетние в возрасте до 14 лет, передаются им в собственность по заявлению родителей (усыновителей), опекунов с предварительного разрешения органов опеки и попечительства либо по инициативе указанных органов. Жилые помещения, в которых проживают исключительно несовершеннолетние в возрасте от 14 до 18 лет, передаются им в собственность по их заявлению с согласия родителей (усыновителей), попечителей и органов опеки и попечительства.;;;1С 14 лет с согласия законных представителей и органов опеки и попечительства;С 16 лет;18 лет;;;;;;;;;;;;;;;;;;
;; В случае смерти родителей, а также в иных случаях утраты попечения родителей, если в жилом помещении остались проживать исключительно несовершеннолетние, органы опеки и попечительства, руководители учреждений для детей-сирот и детей, оставшихся без попечения родителей, опекуны (попечители), приемные родители или иные законные представители несовершеннолетних в течение трех месяцев оформляют договор передачи жилого помещения в собственность детям-сиротам и детям, оставшимся без попечения родителей. Договоры передачи жилых помещений в собственность несовершеннолетним, не достигшим возраста 14 лет, оформляются по заявлениям их законных представителей с предварительного разрешения органов опеки и попечительства или при необходимости по инициативе таких органов. Указанные договоры несовершеннолетними, достигшими возраста 14 лет, оформляются самостоятельно с согласия их законных представителей и органов опеки и попечительства.;;;;;;;;;;;;;;;;;;;;;;;
16.;Юридические лица;п.1 ст. 48 ГК РФ ;Что такое юридическое лицо? ;;;;;;;;;;;;;;;;;;;;;;
;;Юридическим лицом признается организация, которая имеет обособленное имущество и отвечает им по своим обязательствам, может от своего имени приобретать и осуществлять гражданские права и нести гражданские обязанности, быть истцом и ответчиком в суде.;;;;;;;;;;;;;;;;;;;;;;;
;;2. Юридическое лицо должно быть зарегистрировано в едином государственном реестре юридических лиц в одной из организационно-правовых форм, предусмотренных настоящим Кодексом.;;;Лицо, имеющее юридическое образование ;1Юридическим лицом признается организация, которая имеет обособленное имущество и отвечает им по своим обязательствам, может от своего имени приобретать и осуществлять гражданские права и нести гражданские обязанности, быть истцом и ответчиком в суде.;Коллектив. ;;;;;;;;;;;;;;;;;;
;;3. К юридическим лицам, на имущество которых их учредители имеют вещные права, относятся государственные и муниципальные унитарные предприятия, а также учреждения.;;;;;;;;;;;;;;;;;;;;;;;
;;К юридическим лицам, в отношении которых их участники имеют корпоративные права, относятся корпоративные организации;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
17.;;п.1 ст. 48 ГК РФ ;Может ли юридическое лицо;;;;;;;;;;;;;;;;;;;;;;
;;Юридическим лицом признается организация, которая имеет обособленное имущество и отвечает им по своим обязательствам, может от своего имени приобретать и осуществлять гражданские права и нести гражданские обязанности, быть истцом и ответчиком в суде.;иметь обособленное имущество? ;;;;;;;;;;;;;;;;;;;;;;
;;2. Юридическое лицо должно быть зарегистрировано в едином государственном реестре юридических лиц в одной из организационно-правовых форм, предусмотренных настоящим Кодексом.;;;1Может.;Не может.;Государственные и муниципальные унитарные предприятия ? не могут, другие юридические лица ? могут.;Может иметь в собственности или хозяйственном ведении.;Может иметь в собственности, хозяйственном ведении или оперативном управлении. ;;;;;;;;;;;;;;;;
;;3. К юридическим лицам, на имущество которых их учредители имеют вещные права, относятся государственные и муниципальные унитарные предприятия, а также учреждения.;;;;;;;;;;;;;;;;;;;;;;;
;;К юридическим лицам, в отношении которых их участники имеют корпоративные права, относятся корпоративные организации;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
18.;;ст. 52 ГК РФ1. Юридические лица, за исключением хозяйственных товариществ, действуют на основании уставов, которые утверждаются их учредителями (участниками), за исключением случая, предусмотренного пунктом 2 настоящей статьи.;Какие документы необходимо проверить при покупке квартиры у юридического лица?;;;;;;;;;;;;;;;;;;;;;;
;;(в ред. Федерального закона от 29.06.2015 N 209-ФЗ);Выберите все возможные правильные из предложенных вариантов ответов.;;;;;;;;;;;;;;;;;;;;;;
;;Хозяйственное товарищество действует на основании учредительного договора, который заключается его учредителями (участниками) и к которому применяются правила настоящего Кодекса об уставе юридического лица.;;;Устав.;Учредительный договор.;Устав, либо учредительный договор, либо устав и учредительный договор, либо в случаях, предусмотренных законом, общее положение о некоммерческой организации определенного вида.;Устав и учредительный договор.;Устав, либо учредительный договор и устав, либо только учредительный договор в зависимости от вида юридического лица. ;1Устав, а для хозяйственных товариществ учредительный договор.;1Приказ о назначении Генерального директора.;1Доверенность на соответствующие действия, если в договорные отношения вступает не Генеральный директор;1Правоустанавливающие документы на квартиру.;1;1;1;1;1;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;КонсультантПлюс: примечание.;;;;;;;;;;;;;;;;;;;;;;;
;;Со 2 октября 2016 года Федеральным законом от 03.07.2016 N 236-ФЗ пункт 1 статьи 52 дополняется новым абзацем. См. текст в будущей редакции.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;2. Юридические лица могут действовать на основании типового устава, утвержденного уполномоченным государственным органом. Сведения о том, что юридическое лицо действует на основании типового устава, утвержденного уполномоченным государственным органом, указываются в едином государственном реестре юридических лиц.;;;;;;;;;;;;;;;;;;;;;;;
;;Типовой устав, утвержденный уполномоченным государственным органом, не содержит сведений о наименовании, фирменном наименовании, месте нахождения и размере уставного капитала юридического лица. Такие сведения указываются в едином государственном реестре юридических лиц.;;;;;;;;;;;;;;;;;;;;;;;
;;(п. 2 в ред. Федерального закона от 29.06.2015 N 209-ФЗ);;;;;;;;;;;;;;;;;;;;;;;
;;3. В случаях, предусмотренных законом, учреждение может действовать на основании единого типового устава, утвержденного его учредителем или уполномоченным им органом для учреждений, созданных для осуществления деятельности в определенных сферах.;;;;;;;;;;;;;;;;;;;;;;;
;;4. Устав юридического лица, утвержденный учредителями (участниками) юридического лица, должен содержать сведения о наименовании юридического лица, его организационно-правовой форме, месте его нахождения, порядке управления деятельностью юридического лица, а также другие сведения, предусмотренные законом для юридических лиц соответствующих организационно-правовой формы и вида. В уставах некоммерческих организаций, уставах унитарных предприятий и в предусмотренных законом случаях в уставах других коммерческих организаций должны быть определены предмет и цели деятельности юридических лиц. Предмет и определенные цели деятельности коммерческой организации могут быть предусмотрены уставом также в случаях, если по закону это не является обязательным.;;;;;;;;;;;;;;;;;;;;;;;
;;(в ред. Федеральных законов от 23.05.2015 N 133-ФЗ, от 29.06.2015 N 209-ФЗ);;;;;;;;;;;;;;;;;;;;;;;
;;5. Учредители (участники) юридического лица вправе утвердить регулирующие корпоративные отношения (пункт 1 статьи 2) и не являющиеся учредительными документами внутренний регламент и иные внутренние документы юридического лица.;;;;;;;;;;;;;;;;;;;;;;;
;;Во внутреннем регламенте и в иных внутренних документах юридического лица могут содержаться положения, не противоречащие учредительному документу юридического лица.;;;;;;;;;;;;;;;;;;;;;;;
;;6. Изменения, внесенные в учредительные документы юридических лиц, приобретают силу для третьих лиц с момента государственной регистрации учредительных документов, а в случаях, установленных законом, с момента уведомления органа, осуществляющего государственную регистрацию, о таких изменениях. Однако юридические лица и их учредители (участники) не вправе ссылаться на отсутствие регистрации таких изменений в отношениях с третьими лицами, действовавшими с учетом таких изменений.;;;;;;;;;;;;;;;;;;;;;;;
;;.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
19.;;ст. ст. 49 и 51 ГК РФ;С какого момента возникает правоспособность у юридического лица?;;;;;;;;;;;;;;;;;;;;;;
;;п.3 ст 49. Правоспособность юридического лица возникает с момента внесения в единый государственный реестр юридических лиц сведений о его создании и прекращается в момент внесения в указанный реестр сведений о его прекращении.;;;С момента утверждения учредительных документов на собрании учредителей.;1С момента внесения в единый государственный реестр юридических лиц соответствующей записи.;С момента создания исполнительных органов юридического лица.;С момента получения лицензии юридическим лицом. ;;;;;;;;;;;;;;;;;
;;П.8 ст.51 Юридическое лицо считается созданным, а данные о юридическом лице считаются включенными в единый государственный реестр юридических лиц со дня внесения соответствующей записи в этот реестр.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
20.;Сроки, исковая давность, право собственности;ГК РФ Статья 209. Содержание права собственности;В числе основных правомочий собственника определены ?..;;;;;;;;;;;;;;;;;;;;;;
;;Собственнику принадлежат права владения, пользования и распоряжения своим имуществом;;;1Владение;Наследование;Дарение;1Распоряжение;Аренда;1Пользование;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
21.;;"П.1 ст. 62 Федеральный закон от 13.07.2015 N 218-ФЗ (ред. от 03.07.2016) ""О государственной регистрации недвижимости"" (с изм. и доп., вступ. в силу с 02.01.2017)";Может ли информация о государственной регистрации прав на недвижимое имущество (выписка из Единого государственного реестра недвижимости) предоставляться посторонним гражданам?;;;;;;;;;;;;;;;;;;;;;;
;;"Сведения, содержащиеся в Едином государственном реестре недвижимости, за исключением сведений, доступ к которым ограничен федеральным законом, предоставляются органом регистрации прав по запросам любых лиц (далее - запрос о предоставлении сведений), в том числе посредством использования информационно-телекоммуникационных сетей общего пользования, в том числе сети ""Интернет"", включая единый портал, единой системы межведомственного электронного взаимодействия и подключаемых к ней региональных систем межведомственного электронного взаимодействия, иных технических средств связи, а также посредством обеспечения доступа к федеральной государственной информационной системе ведения Единого государственного реестра недвижимости или иным способом, установленным органом нормативно-правового регулирования.";;;Может предоставляться только по запросу органов власти.;1Может предоставляться любому физическому или юридическому лицу.;Не может предоставляться.;Может предоставляться только по довереннности;;;;;;;;;;;;;;;;;
